INSERT INTO fa22_sg_order_product (quantity, actual_price, product_id, order_id) VALUES 
('8', '2325.28', 'FUR-BO-5951', 'MX-2012-DV1346539-41179'), 
('14', '5486.67', 'FUR-BO-5948', 'IN-2015-MB173057-42179'), 
('8', '1523.66', 'OFF-ST-5700', 'IT-2012-PC19000120-41004'), 
('3', '1625.24', 'TEC-PH-5355', 'IT-2015-CA1231045-42223'), 
('5', '28.4', 'OFF-FA-6129', 'CA-2015-AS10090140-42096'), 
('4', '734.94', 'OFF-ST-6261', 'ES-2015-MB1808545-42049'), 
('1', '13.97', 'OFF-AP-3367', 'CA-2012-AS10090140-41266'), 
('8', '1391.52', 'FUR-CH-5456', 'RO-2013-DB3660107-41503'), 
('3', '26.22', 'OFF-EN-2848', 'CA-2013-AS10090140-41587'), 
('7', '2461.06', 'OFF-AP-4960', 'MX-2013-BG1174018-41493'), 
